date,"inflation rate, percent","civilian unemployment rate, percent",
1/1/1948,10.23,3.4,
3/1/1948,6.849,4,
4/1/1948,8.676,3.9,
6/1/1948,9.545,3.6,
7/1/1948,9.91,3.6,
9/1/1948,6.522,3.8,
10/1/1948,6.087,3.7,
12/1/1948,2.991,4,
1/1/1949,1.266,4.3,
3/1/1949,1.709,5,
4/1/1949,0.4202,5.3,
6/1/1949,-0.8299,6.2,
7/1/1949,-2.869,6.7,
9/1/1949,-2.449,6.6,
10/1/1949,-2.869,7.9,
12/1/1949,-2.075,6.6,
1/1/1950,-2.083,6.5,
3/1/1950,-0.8403,6.3,
4/1/1950,-1.255,5.8,
6/1/1950,-0.4184,5.4,
7/1/1950,1.688,5,
9/1/1950,2.092,4.4,
10/1/1950,3.797,4.2,
12/1/1950,5.932,4.3,
1/1/1951,8.085,3.7,
3/1/1951,9.322,3.4,
4/1/1951,9.322,3.1,
6/1/1951,8.824,3.2,
7/1/1951,7.469,3.1,
9/1/1951,6.967,3.3,
10/1/1951,6.504,3.5,
12/1/1951,6,3.1,
1/1/1952,4.331,3.2,
3/1/1952,1.938,2.9,
4/1/1952,2.326,2.9,
6/1/1952,2.317,3,
7/1/1952,3.089,3.2,
9/1/1952,2.299,3.1,
10/1/1952,1.908,3,
12/1/1952,0.7547,2.7,
1/1/1953,0.3774,2.9,
3/1/1953,1.141,2.6,
4/1/1953,0.7576,2.7,
6/1/1953,1.132,2.5,
7/1/1953,0.3745,2.6,
9/1/1953,0.7491,2.9,
10/1/1953,1.124,3.1,
12/1/1953,0.7491,4.5,
1/1/1954,1.128,4.9,
3/1/1954,1.128,5.7,
4/1/1954,0.7519,5.9,
6/1/1954,0.3731,5.6,
7/1/1954,0.3731,5.8,
9/1/1954,-0.3717,6.1,
10/1/1954,-0.7407,5.7,
12/1/1954,-0.7435,5,
1/1/1955,-0.7435,4.9,
3/1/1955,-0.7435,4.6,
4/1/1955,-0.3731,4.7,
6/1/1955,-0.7435,4.2,
7/1/1955,-0.3717,4,
9/1/1955,0.3731,4.1,
10/1/1955,0.3731,4.3,
12/1/1955,0.3745,4.2,
1/1/1956,0.3745,4,
3/1/1956,0.3745,4.2,
4/1/1956,0.7491,4,
6/1/1956,1.873,4.3,
7/1/1956,2.239,4.4,
9/1/1956,1.859,3.9,
10/1/1956,2.23,3.9,
12/1/1956,2.985,4.2,
1/1/1957,2.985,4.2,
3/1/1957,3.731,3.7,
4/1/1957,3.717,3.9,
6/1/1957,3.309,4.3,
7/1/1957,3.285,4.2,
9/1/1957,3.285,4.4,
10/1/1957,2.909,4.5,
12/1/1957,2.899,5.2,
1/1/1958,3.623,5.8,
3/1/1958,3.597,6.7,
4/1/1958,3.584,7.4,
6/1/1958,2.847,7.3,
7/1/1958,2.473,7.5,
9/1/1958,2.12,7.1,
10/1/1958,2.12,6.7,
12/1/1958,1.761,6.2,
1/1/1959,1.399,6,
3/1/1959,0.3472,5.6,
4/1/1959,0.346,5.2,
6/1/1959,0.692,5,
7/1/1959,0.6897,5.1,
9/1/1959,1.384,5.5,
10/1/1959,1.73,5.7,
12/1/1959,1.73,5.3,
1/1/1960,1.034,5.2,
3/1/1960,1.73,5.4,
4/1/1960,1.724,5.2,
6/1/1960,1.718,5.4,
7/1/1960,1.37,5.5,
9/1/1960,1.024,5.5,
10/1/1960,1.361,6.1,
12/1/1960,1.361,6.6,
1/1/1961,1.706,6.6,
3/1/1961,1.361,6.9,
4/1/1961,1.017,7,
6/1/1961,0.6757,6.9,
7/1/1961,1.351,7,
9/1/1961,1.351,6.7,
10/1/1961,0.6711,6.5,
12/1/1961,0.6711,6,
1/1/1962,0.6711,5.8,
3/1/1962,1.007,5.6,
4/1/1962,1.342,5.6,
6/1/1962,1.342,5.5,
7/1/1962,1,5.4,
9/1/1962,1.333,5.6,
10/1/1962,1.333,5.4,
12/1/1962,1.333,5.5,
1/1/1963,1.333,5.7,
3/1/1963,1.329,5.7,
4/1/1963,0.9934,5.7,
6/1/1963,1.325,5.6,
7/1/1963,1.32,5.6,
9/1/1963,0.9868,5.5,
10/1/1963,1.316,5.5,
12/1/1963,1.645,5.5,
1/1/1964,1.645,5.6,
3/1/1964,1.311,5.4,
4/1/1964,1.311,5.3,
6/1/1964,1.307,5.2,
7/1/1964,1.303,4.9,
9/1/1964,1.303,5.1,
10/1/1964,0.974,5.1,
12/1/1964,0.9709,5,
1/1/1965,0.9709,4.9,
3/1/1965,1.294,4.7,
4/1/1965,1.618,4.8,
6/1/1965,1.935,4.6,
7/1/1965,1.608,4.4,
9/1/1965,1.608,4.3,
10/1/1965,1.929,4.2,
12/1/1965,1.923,4,
1/1/1966,1.923,4,
3/1/1966,2.556,3.8,
4/1/1966,2.866,3.8,
6/1/1966,2.532,3.8,
7/1/1966,2.848,3.8,
9/1/1966,3.481,3.7,
10/1/1966,3.785,3.7,
12/1/1966,3.459,3.8,
1/1/1967,3.459,3.9,
3/1/1967,2.804,3.8,
4/1/1967,2.477,3.8,
6/1/1967,2.778,3.9,
7/1/1967,2.769,3.8,
9/1/1967,2.752,3.8,
10/1/1967,2.432,4,
12/1/1967,3.04,3.8,
1/1/1968,3.647,3.7,
3/1/1968,3.939,3.7,
4/1/1968,3.927,3.5,
6/1/1968,4.204,3.7,
7/1/1968,4.491,3.7,
9/1/1968,4.464,3.4,
10/1/1968,4.748,3.4,
12/1/1968,4.72,3.4,
1/1/1969,4.399,3.4,
3/1/1969,5.248,3.4,
4/1/1969,5.523,3.4,
6/1/1969,5.476,3.5,
7/1/1969,5.444,3.5,
9/1/1969,5.698,3.7,
10/1/1969,5.666,3.7,
12/1/1969,6.197,3.5,
1/1/1970,6.18,3.9,
3/1/1970,5.817,4.4,
4/1/1970,6.061,4.6,
6/1/1970,6.011,4.9,
7/1/1970,5.978,5,
9/1/1970,5.66,5.4,
10/1/1970,5.63,5.5,
12/1/1970,5.57,6.1,
1/1/1971,5.291,5.9,
3/1/1971,4.712,6,
4/1/1971,4.156,5.9,
6/1/1971,4.639,5.9,
7/1/1971,4.359,6,
9/1/1971,4.082,6,
10/1/1971,3.807,5.8,
12/1/1971,3.266,6,
1/1/1972,3.266,5.8,
3/1/1972,3.5,5.8,
4/1/1972,3.491,5.7,
6/1/1972,2.709,5.7,
7/1/1972,2.948,5.6,
9/1/1972,3.186,5.5,
10/1/1972,3.423,5.6,
12/1/1972,3.406,5.2,
1/1/1973,3.65,4.9,
3/1/1973,4.589,4.9,
4/1/1973,5.06,5,
6/1/1973,5.995,4.9,
7/1/1973,5.728,4.8,
9/1/1973,7.363,4.8,
10/1/1973,7.801,4.6,
12/1/1973,8.706,4.9,
1/1/1974,9.39,5.1,
3/1/1974,10.39,5.1,
4/1/1974,10.09,5.1,
6/1/1974,10.86,5.4,
7/1/1974,11.51,5.5,
9/1/1974,11.95,5.9,
10/1/1974,12.06,6,
12/1/1974,12.34,7.2,
1/1/1975,11.8,8.1,
3/1/1975,10.25,8.6,
4/1/1975,10.21,8.8,
6/1/1975,9.388,8.8,
7/1/1975,9.717,8.6,
9/1/1975,7.905,8.4,
10/1/1975,7.436,8.4,
12/1/1975,6.936,8.2,
1/1/1976,6.718,7.9,
3/1/1976,6.072,7.6,
4/1/1976,6.049,7.7,
6/1/1976,5.97,7.6,
7/1/1976,5.351,7.8,
9/1/1976,5.495,7.6,
10/1/1976,5.464,7.7,
12/1/1976,4.865,7.8,
1/1/1977,5.216,7.5,
3/1/1977,6.44,7.4,
4/1/1977,6.952,7.2,
6/1/1977,6.866,7.2,
7/1/1977,6.83,6.9,
9/1/1977,6.597,6.8,
10/1/1977,6.39,6.8,
12/1/1977,6.701,6.4,
1/1/1978,6.838,6.4,
3/1/1978,6.555,6.3,
4/1/1978,6.5,6.1,
6/1/1978,7.414,5.9,
7/1/1978,7.705,6.2,
9/1/1978,8.306,6,
10/1/1978,8.929,5.8,
12/1/1978,9.018,6,
1/1/1979,9.28,5.9,
3/1/1979,10.09,5.8,
4/1/1979,10.49,5.8,
6/1/1979,10.89,5.7,
7/1/1979,11.26,5.7,
9/1/1979,12.18,5.9,
10/1/1979,12.07,6,
12/1/1979,13.29,6,
1/1/1980,13.91,6.3,
3/1/1980,14.76,6.3,
4/1/1980,14.73,6.9,
6/1/1980,14.38,7.6,
7/1/1980,13.13,7.8,
9/1/1980,12.6,7.5,
10/1/1980,12.77,7.5,
12/1/1980,12.52,7.2,
1/1/1981,11.83,7.5,
3/1/1981,10.49,7.4,
4/1/1981,10,7.2,
6/1/1981,9.553,7.5,
7/1/1981,10.76,7.2,
9/1/1981,10.95,7.6,
10/1/1981,10.14,7.9,
12/1/1981,8.922,8.5,
1/1/1982,8.391,8.6,
3/1/1982,6.78,9,
4/1/1982,6.51,9.3,
6/1/1982,7.064,9.6,
7/1/1982,6.441,9.8,
9/1/1982,5.043,10.1,
10/1/1982,5.139,10.4,
12/1/1982,3.83,10.8,
1/1/1983,3.712,10.4,
3/1/1983,3.598,10.3,
4/1/1983,3.899,10.2,
6/1/1983,2.577,10.1,
7/1/1983,2.462,9.4,
9/1/1983,2.86,9.2,
10/1/1983,2.851,8.8,
12/1/1983,3.791,8.3,
1/1/1984,4.192,8,
3/1/1984,4.801,7.8,
4/1/1984,4.564,7.7,
6/1/1984,4.221,7.2,
7/1/1984,4.204,7.5,
9/1/1984,4.27,7.3,
10/1/1984,4.257,7.4,
12/1/1984,3.949,7.3,
1/1/1985,3.533,7.3,
3/1/1985,3.704,7.2,
4/1/1985,3.686,7.3,
6/1/1985,3.761,7.4,
7/1/1985,3.554,7.4,
9/1/1985,3.143,7.1,
10/1/1985,3.229,7.1,
12/1/1985,3.799,7,
1/1/1986,3.886,6.7,
3/1/1986,2.256,7.2,
4/1/1986,1.59,7.1,
6/1/1986,1.766,7.2,
7/1/1986,1.577,7,
9/1/1986,1.754,7,
10/1/1986,1.472,7,
12/1/1986,1.098,6.6,
1/1/1987,1.46,6.6,
3/1/1987,3.033,6.6,
4/1/1987,3.775,6.3,
6/1/1987,3.653,6.2,
7/1/1987,3.927,6.1,
9/1/1987,4.356,5.9,
10/1/1987,4.533,6,
12/1/1987,4.434,5.7,
1/1/1988,4.047,5.7,
3/1/1988,3.925,5.7,
4/1/1988,3.904,5.4,
6/1/1988,3.965,5.4,
7/1/1988,4.13,5.4,
9/1/1988,4.174,5.4,
10/1/1988,4.25,5.4,
12/1/1988,4.419,5.3,
1/1/1989,4.667,5.4,
3/1/1989,4.979,5,
4/1/1989,5.124,5.2,
6/1/1989,5.169,5.3,
7/1/1989,4.979,5.2,
9/1/1989,4.341,5.3,
10/1/1989,4.493,5.3,
12/1/1989,4.647,5.4,
1/1/1990,5.202,5.4,
3/1/1990,5.233,5.2,
4/1/1990,4.712,5.4,
6/1/1990,4.674,5.2,
7/1/1990,4.823,5.5,
9/1/1990,6.16,5.9,
10/1/1990,6.29,5.9,
12/1/1990,6.106,6.3,
1/1/1991,5.651,6.4,
3/1/1991,4.895,6.8,
4/1/1991,4.888,6.7,
6/1/1991,4.696,6.9,
7/1/1991,4.448,6.8,
9/1/1991,3.391,6.9,
10/1/1991,2.921,7,
12/1/1991,3.064,7.3,
1/1/1992,2.6,7.3,
3/1/1992,3.185,7.4,
4/1/1992,3.18,7.4,
6/1/1992,3.088,7.8,
7/1/1992,3.157,7.7,
9/1/1992,2.988,7.6,
10/1/1992,3.202,7.3,
12/1/1992,2.901,7.4,
1/1/1993,3.259,7.3,
3/1/1993,3.087,7,
4/1/1993,3.226,7.1,
6/1/1993,2.996,7,
7/1/1993,2.776,6.9,
9/1/1993,2.689,6.7,
10/1/1993,2.75,6.8,
12/1/1993,2.748,6.5,
1/1/1994,2.525,6.6,
3/1/1994,2.507,6.5,
4/1/1994,2.361,6.4,
6/1/1994,2.493,6.1,
7/1/1994,2.77,6.1,
9/1/1994,2.963,5.9,
10/1/1994,2.608,5.8,
12/1/1994,2.675,5.5,
1/1/1995,2.804,5.6,
3/1/1995,2.853,5.4,
4/1/1995,3.053,5.8,
6/1/1995,3.041,5.6,
7/1/1995,2.763,5.7,
9/1/1995,2.544,5.6,
10/1/1995,2.809,5.5,
12/1/1995,2.538,5.6,
1/1/1996,2.728,5.6,
3/1/1996,2.84,5.5,
4/1/1996,2.897,5.6,
6/1/1996,2.754,5.3,
7/1/1996,2.951,5.5,
9/1/1996,3.003,5.2,
10/1/1996,2.993,5.2,
12/1/1996,3.322,5.4,
1/1/1997,3.044,5.3,
3/1/1997,2.762,5.2,
4/1/1997,2.495,5.1,
6/1/1997,2.297,5,
7/1/1997,2.229,4.9,
9/1/1997,2.155,4.9,
10/1/1997,2.085,4.7,
12/1/1997,1.702,4.7,
1/1/1998,1.571,4.6,
3/1/1998,1.375,4.7,
4/1/1998,1.436,4.3,
6/1/1998,1.684,4.5,
7/1/1998,1.682,4.5,
9/1/1998,1.489,4.6,
10/1/1998,1.485,4.5,
12/1/1998,1.612,4.4,
1/1/1999,1.671,4.3,
3/1/1999,1.726,4.2,
4/1/1999,2.277,4.3,
6/1/1999,1.963,4.3,
7/1/1999,2.145,4.3,
9/1/1999,2.628,4.2,
10/1/1999,2.561,4.1,
12/1/1999,2.685,4,
1/1/2000,2.739,4,
3/1/2000,3.758,4,
4/1/2000,3.069,3.8,
6/1/2000,3.73,4,
7/1/2000,3.659,4,
9/1/2000,3.454,3.9,
10/1/2000,3.448,3.9,
12/1/2000,3.387,3.9,
1/1/2001,3.732,4.2,
3/1/2001,2.921,4.3,
4/1/2001,3.269,4.4,
6/1/2001,3.248,4.5,
7/1/2001,2.72,4.6,
9/1/2001,2.648,5,
10/1/2001,2.126,5.3,
12/1/2001,1.552,5.7,
1/1/2002,1.142,5.7,
3/1/2002,1.476,5.7,
4/1/2002,1.639,5.9,
6/1/2002,1.067,5.8,
7/1/2002,1.465,5.8,
9/1/2002,1.514,5.7,
10/1/2002,2.026,5.7,
12/1/2002,2.377,6,
1/1/2003,2.597,5.8,
3/1/2003,3.02,5.9,
4/1/2003,2.225,6,
6/1/2003,2.112,6.3,
7/1/2003,2.11,6.2,
9/1/2003,2.32,6.1,
10/1/2003,2.041,6,
12/1/2003,1.879,5.7,
1/1/2004,1.926,5.7,
3/1/2004,1.737,5.8,
4/1/2004,2.285,5.6,
6/1/2004,3.266,5.6,
7/1/2004,2.991,5.5,
9/1/2004,2.538,5.4,
10/1/2004,3.189,5.5,
12/1/2004,3.256,5.4,
1/1/2005,2.97,5.3,
3/1/2005,3.148,5.2,
4/1/2005,3.511,5.2,
6/1/2005,2.53,5,
7/1/2005,3.168,5,
9/1/2005,4.687,5,
10/1/2005,4.348,5,
12/1/2005,3.416,4.9,
1/1/2006,3.985,4.7,
3/1/2006,3.363,4.7,
4/1/2006,3.546,4.7,
6/1/2006,4.319,4.6,
7/1/2006,4.145,4.7,
9/1/2006,2.062,4.5,
10/1/2006,1.305,4.4,
12/1/2006,2.541,4.4,
1/1/2007,2.076,4.6,
3/1/2007,2.779,4.4,
4/1/2007,2.574,4.5,
6/1/2007,2.687,4.6,
7/1/2007,2.358,4.7,
9/1/2007,2.755,4.7,
10/1/2007,3.536,4.7,
12/1/2007,4.081,5,
1/1/2008,4.28,5,
3/1/2008,3.981,5.1,
4/1/2008,3.937,5,
6/1/2008,5.022,5.6,
7/1/2008,5.6,5.8,
9/1/2008,4.937,6.1,
10/1/2008,3.655,6.5,
12/1/2008,0.09141,7.3,
1/1/2009,0.02985,7.8,
3/1/2009,-0.3836,8.7,
4/1/2009,-0.7369,9,
6/1/2009,-1.427,9.5,
7/1/2009,-2.097,9.5,
9/1/2009,-1.286,9.8,
10/1/2009,-0.1828,10,
12/1/2009,2.721,9.9,
1/1/2010,2.626,9.8,
3/1/2010,2.314,9.9,
4/1/2010,2.236,9.9,
6/1/2010,1.053,9.4,
7/1/2010,1.235,9.4,
9/1/2010,1.144,9.5,
10/1/2010,1.172,9.4,
12/1/2010,1.496,9.3,
1/1/2011,1.632,9.1,
3/1/2011,2.682,9,
4/1/2011,3.164,9.1,
6/1/2011,3.559,9.1,
7/1/2011,3.629,9,
9/1/2011,3.868,9,
10/1/2011,3.525,8.8,
12/1/2011,2.962,8.5,
1/1/2012,2.925,8.3,
3/1/2012,2.651,8.2,
4/1/2012,2.303,8.2,
6/1/2012,1.664,8.2,
7/1/2012,1.408,8.2,
9/1/2012,1.991,7.8,
10/1/2012,2.162,7.8,
12/1/2012,1.741,7.9,
1/1/2013,1.595,8,
3/1/2013,1.474,7.5,
4/1/2013,1.063,7.6,
6/1/2013,1.754,7.5,
7/1/2013,1.961,7.3,
9/1/2013,1.185,7.3,
10/1/2013,0.9636,7.2,
12/1/2013,1.502,6.7,
1/1/2014,1.579,6.6,
3/1/2014,1.512,6.7,
4/1/2014,1.953,6.2,
6/1/2014,2.072,6.1,
7/1/2014,1.992,6.2,
9/1/2014,1.658,6,
10/1/2014,1.664,5.7,
12/1/2014,0.7565,5.6,
1/1/2015,-0.08935,5.7,
3/1/2015,-0.07364,5.5,
4/1/2015,-0.1995,5.4,
6/1/2015,0.1238,5.3,
7/1/2015,0.1696,5.3,
9/1/2015,-0.03613,5.1,
10/1/2015,0.1706,5,
12/1/2015,0.7295,5,
1/1/2016,1.373,4.9,
3/1/2016,0.8525,5,
